date,open,high,low,close,volume
2006-02-17,548.1,557.0,546.5,554.6,43960.0
2006-02-21,557.7,559.5,553.9,556.6,42090.0
2006-02-22,556.9,557.7,549.8,556.6,45840.0
2006-02-23,556.1,558.4,550.3,550.9,42150.0
2006-02-24,551.5,562.0,549.6,561.2,58720.0
2006-02-27,561.0,561.7,554.8,557.0,35160.0
2006-02-28,557.2,564.1,555.1,563.9,54200.0
2006-03-01,563.1,569.0,562.4,565.8,60190.0
2006-03-02,565.6,570.8,563.7,570.4,49550.0
2006-03-03,570.6,572.5,566.2,568.0,44150.0
2006-03-06,567.5,570.2,553.5,556.8,64519.99999999999
2006-03-07,556.5,559.8,549.6,554.5,72670.0
2006-03-08,554.0,555.4,539.5,544.3,89860.0
2006-03-09,543.9,551.7,540.7,547.0,56950.0
2006-03-10,546.8,548.2,534.5,541.3,107180.0
2006-03-13,542.2,547.8,541.4,547.5,52690.0
2006-03-14,547.8,553.6,543.5,553.0,58670.0
2006-03-15,553.0,558.3,551.3,554.4,49740.0
2006-03-16,554.3,557.6,548.1,555.4,68410.0
2006-03-17,555.4,558.6,552.5,555.1,39790.0
2006-03-20,555.2,557.2,550.5,556.1,47710.0
2006-03-21,555.7,556.0,547.6,553.2,73600.0
2006-03-22,553.1,554.0,547.3,551.7,52000.0
2006-03-23,551.9,551.9,545.1,550.8,62520.0
2006-03-24,551.5,561.4,549.0,560.5,99490.0
2006-03-27,560.4,568.6,558.9,567.4,86620.0
2006-03-28,567.4,569.7,563.4,567.0,82360.0
2006-03-29,566.5,574.5,560.2,573.3,64190.0
2006-03-30,578.0,592.0,576.5,591.8,110120.0
2006-03-31,590.7,594.6,584.0,586.7,63560.0
2006-04-03,587.8,596.8,586.3,594.3,53860.0
2006-04-04,594.1,595.3,589.5,590.6,48700.0
2006-04-05,591.3,594.7,586.8,592.5,49110.0
2006-04-06,592.6,601.9,592.0,599.7,57790.0
2006-04-07,599.2,603.1,589.5,592.7,64870.00000000001
2006-04-10,593.5,602.8,592.6,601.8,46160.0
2006-04-11,601.5,608.4,597.1,599.4,67230.0
2006-04-12,599.4,604.0,597.1,601.3,43700.0
2006-04-13,601.1,603.0,594.0,600.1,43140.0
2006-04-17,603.0,619.5,600.3,618.8,54540.0
2006-04-18,618.8,623.8,615.9,623.3,59570.0
2006-04-19,624.0,636.5,622.1,636.0,68840.0
2006-04-20,639.1,649.0,610.5,623.1,117490.0
2006-04-21,620.0,636.0,613.2,635.5,75200.0
2006-04-24,642.3,644.6,622.1,623.9,56480.0
2006-04-25,623.0,638.0,621.0,634.2,58470.0
2006-04-26,633.2,642.9,631.0,642.0,54190.0
2006-04-27,642.6,646.3,627.0,636.3,70590.0
2006-04-28,636.8,658.2,634.0,654.5,66840.0
2006-05-01,656.8,664.0,653.0,660.2,42590.0
2006-05-02,660.2,669.3,655.2,667.4,58730.0
2006-05-03,667.1,679.8,660.0,668.5,85190.0
2006-05-04,669.0,679.8,662.8,676.5,68740.0
2006-05-05,676.6,687.0,675.5,684.3,55100.0
2006-05-08,684.4,688.2,673.0,679.9,54690.0
2006-05-09,680.0,701.8,679.5,701.5,77700.0
2006-05-10,701.9,706.8,695.5,705.7,64260.00000000001
2006-05-11,704.6,728.0,701.2,721.5,85400.0
2006-05-12,722.9,732.0,709.5,711.8,79680.0
2006-05-15,715.7,721.5,679.0,685.0,88040.0
2006-05-16,684.1,693.8,675.5,692.9,90570.0
2006-05-17,693.1,720.0,686.1,691.8,90570.0
2006-05-18,691.5,695.0,679.1,680.9,57120.0
2006-05-19,680.2,688.9,651.0,657.0,101590.0
2006-05-22,658.0,661.5,636.8,657.7,64370.00000000001
2006-05-23,657.7,674.0,651.5,673.7,81570.0
2006-05-24,674.1,675.0,636.5,637.5,106510.0
2006-05-25,637.2,650.5,637.2,648.5,79300.0
2006-05-26,648.1,655.7,640.5,651.0,80560.0
2006-05-30,659.9,671.5,654.7,660.5,80290.0
2006-05-31,660.0,666.0,644.0,649.0,53420.0
2006-06-01,649.8,651.3,625.0,633.5,62880.0
2006-06-02,633.9,644.0,624.0,641.0,42020.0
2006-06-05,642.1,650.9,640.5,648.7,46660.0
2006-06-06,648.2,649.4,630.4,634.7,42800.0
2006-06-07,634.5,635.5,621.3,632.6,51070.0
2006-06-08,632.6,636.0,612.8,613.8,54330.0
2006-06-09,615.0,622.0,608.0,612.8,56280.0
2006-06-12,610.4,616.4,605.0,611.3,42020.0
2006-06-13,610.0,611.7,565.5,566.8,93900.0
2006-06-14,569.4,575.5,546.4,566.5,68730.0
2006-06-15,562.0,580.2,557.1,570.3,52630.0
2006-06-16,571.6,589.0,570.3,581.7,43950.0
2006-06-19,583.7,588.0,569.1,572.4,27360.0
2006-06-20,572.5,581.0,564.3,580.5,39960.0
2006-06-21,580.0,591.8,573.5,591.0,43920.0
