date,open,high,low,close,volume
2011-01-21,1283.6,1291.2,1282.1,1283.3,
2011-01-24,1283.3,1291.9,1282.5,1290.8,
2011-01-25,1288.2,1291.3,1281.1,1291.2,
2011-01-26,1292.0,1299.7,1292.0,1296.6,
2011-01-27,1297.5,1301.3,1294.4,1299.5,
2011-01-28,1299.6,1302.7,1275.1,1276.3,
2011-01-31,1276.5,1287.2,1276.5,1286.1,
2011-02-01,1289.1,1308.9,1289.1,1307.6,
2011-02-02,1305.9,1307.6,1302.6,1304.0,
2011-02-03,1302.8,1308.6,1294.8,1307.1,
2011-02-04,1307.0,1311.0,1301.7,1310.9,
2011-02-07,1311.8,1322.8,1311.8,1319.1,
2011-02-08,1318.8,1324.9,1316.0,1324.6,
2011-02-09,1322.5,1324.5,1314.9,1320.9,
2011-02-10,1318.1,1322.8,1311.7,1321.9,
2011-02-11,1318.7,1330.8,1316.1,1329.2,
2011-02-14,1328.7,1333.0,1326.9,1332.3,
2011-02-15,1330.4,1330.4,1324.6,1328.0,
2011-02-16,1329.5,1337.6,1329.5,1336.3,
2011-02-17,1334.4,1341.5,1331.0,1340.4,
2011-02-18,1340.4,1344.1,1338.1,1343.0,
2011-02-22,1338.9,1338.9,1312.3,1315.4,
2011-02-23,1315.4,1317.9,1299.6,1307.4,
2011-02-24,1307.1,1310.9,1294.3,1306.1,
2011-02-25,1307.3,1320.6,1307.3,1319.9,
2011-02-28,1321.6,1329.4,1320.6,1327.2,
2011-03-01,1328.6,1332.1,1306.1,1306.3,
2011-03-02,1305.5,1314.2,1302.6,1308.4,
2011-03-03,1312.4,1332.3,1312.4,1331.0,
2011-03-04,1330.7,1331.1,1312.6,1321.2,
2011-03-07,1322.7,1327.7,1304.0,1310.1,
2011-03-08,1311.1,1325.7,1306.9,1321.8,
2011-03-09,1319.9,1323.2,1312.3,1320.0,
2011-03-10,1315.7,1315.7,1294.2,1295.1,
2011-03-11,1293.4,1308.3,1292.0,1304.3,
2011-03-14,1301.2,1301.2,1286.4,1296.4,
2011-03-15,1288.5,1288.5,1261.1,1281.9,
2011-03-16,1279.5,1280.9,1249.1,1256.9,
2011-03-17,1261.6,1278.9,1261.6,1273.7,
2011-03-18,1276.7,1288.9,1276.2,1279.2,
2011-03-21,1281.7,1300.6,1281.7,1298.4,
2011-03-22,1298.3,1299.3,1292.7,1293.8,
2011-03-23,1292.2,1300.5,1284.1,1297.5,
2011-03-24,1300.6,1311.3,1297.7,1309.7,
2011-03-25,1311.8,1319.2,1310.2,1313.8,
2011-03-28,1315.4,1319.7,1310.2,1310.2,
2011-03-29,1309.4,1319.4,1305.3,1319.4,
2011-03-30,1321.9,1331.7,1321.9,1328.3,
2011-03-31,1327.4,1329.8,1325.0,1325.8,
2011-04-01,1329.5,1337.8,1328.9,1332.4,
2011-04-04,1333.6,1336.7,1329.1,1332.9,
2011-04-05,1332.0,1338.2,1330.0,1332.6,
2011-04-06,1335.9,1339.4,1331.1,1335.5,
2011-04-07,1334.8,1338.8,1326.6,1333.5,
2011-04-08,1336.2,1339.5,1322.9,1328.2,
2011-04-11,1329.0,1333.8,1321.1,1324.5,
2011-04-12,1322.0,1322.0,1309.5,1314.2,
2011-04-13,1314.0,1321.3,1309.2,1314.4,
2011-04-14,1311.1,1316.8,1302.4,1314.5,
2011-04-15,1314.5,1322.9,1313.7,1319.7,
2011-04-18,1313.3,1313.3,1294.7,1305.1,
2011-04-19,1306.0,1312.7,1304.0,1312.6,
2011-04-20,1319.1,1332.7,1319.1,1330.4,
2011-04-21,1333.2,1337.5,1332.8,1337.4,
2011-04-25,1337.1,1337.6,1331.5,1335.3,
2011-04-26,1336.8,1349.6,1336.8,1347.2,
2011-04-27,1348.4,1357.5,1344.3,1355.7,
2011-04-28,1353.9,1361.7,1353.6,1360.5,
2011-04-29,1360.1,1364.6,1358.7,1363.6,
2011-05-02,1365.2,1370.6,1358.6,1361.2,
2011-05-03,1359.8,1360.8,1349.5,1356.6,
2011-05-04,1355.9,1355.9,1341.5,1347.3,
2011-05-05,1344.2,1348.0,1329.2,1335.1,
2011-05-06,1340.2,1354.4,1335.6,1340.2,
2011-05-09,1340.2,1349.4,1338.6,1346.3,
2011-05-10,1348.3,1359.4,1348.3,1357.2,
2011-05-11,1354.5,1354.5,1336.4,1342.1,
2011-05-12,1339.4,1351.1,1332.0,1348.7,
2011-05-13,1348.7,1350.5,1333.4,1337.8,
2011-05-16,1334.8,1343.3,1327.3,1329.5,
2011-05-17,1326.1,1330.4,1318.5,1329.0,
2011-05-18,1328.5,1341.8,1326.6,1340.7,
2011-05-19,1342.4,1346.8,1336.4,1343.6,
2011-05-20,1342.0,1342.0,1330.7,1333.3,
2011-05-23,1333.1,1333.1,1312.9,1317.4,
2011-05-24,1317.7,1323.7,1313.9,1316.3,
2011-05-25,1316.4,1325.9,1311.8,1320.5,
2011-05-26,1320.6,1328.5,1314.4,1325.7,
2011-05-27,1325.7,1334.6,1325.7,1331.1,
2011-05-31,1331.1,1345.2,1331.1,1345.2,
2011-06-01,1345.2,1345.2,1313.7,1314.6,
2011-06-02,1314.6,1318.0,1305.6,1312.9,
2011-06-03,1312.9,1312.9,1297.9,1300.2,
2011-06-06,1300.3,1300.3,1284.7,1286.2,
2011-06-07,1286.3,1296.2,1284.7,1284.9,
2011-06-08,1284.6,1287.0,1277.4,1279.6,
2011-06-09,1279.6,1294.5,1279.6,1289.0,
2011-06-10,1288.6,1288.6,1268.3,1271.0,
2011-06-13,1271.3,1277.0,1265.6,1271.8,
2011-06-14,1272.2,1292.5,1272.2,1287.9,
2011-06-15,1287.9,1287.9,1261.9,1265.4,
2011-06-16,1265.5,1274.1,1258.1,1267.6,
2011-06-17,1268.6,1279.8,1267.4,1271.5,
2011-06-20,1271.5,1280.4,1267.6,1278.4,
2011-06-21,1278.4,1297.6,1278.4,1295.5,
2011-06-22,1295.5,1298.6,1286.8,1287.1,
2011-06-23,1286.6,1286.6,1262.9,1283.5,
2011-06-24,1283.0,1283.9,1267.2,1268.4,
2011-06-27,1268.4,1284.9,1267.5,1280.1,
2011-06-28,1280.2,1296.8,1280.2,1296.7,
2011-06-29,1296.8,1309.2,1296.8,1307.4,
2011-06-30,1307.6,1322.0,1307.6,1320.6,
2011-07-01,1320.6,1341.0,1318.2,1339.7,
2011-07-05,1339.6,1340.9,1334.3,1337.9,
2011-07-06,1337.6,1340.9,1330.9,1339.2,
2011-07-07,1339.6,1356.5,1339.6,1353.2,
2011-07-08,1352.4,1352.4,1333.7,1343.8,
2011-07-11,1343.3,1343.3,1316.4,1319.5,
2011-07-12,1319.6,1327.2,1313.3,1313.6,
2011-07-13,1314.4,1331.5,1314.4,1317.7,
