time,open,high,low,close,volume
2005-01-03 00:00:00+00:00,5.46600,5.46600,5.37600,5.38100,1140
2005-01-04 00:00:00+00:00,5.37500,5.37800,5.27000,5.27000,1210
2005-01-05 00:00:00+00:00,5.27500,5.34000,5.27500,5.29400,999
2005-01-06 00:00:00+00:00,5.29900,5.35900,5.28400,5.34400,1029
2005-01-07 00:00:00+00:00,5.34900,5.46400,5.34400,5.44900,1366
2005-01-10 00:00:00+00:00,5.41100,5.52400,5.38300,5.51400,1328
2005-01-11 00:00:00+00:00,5.50300,5.53300,5.42500,5.45300,1159
2005-01-12 00:00:00+00:00,5.44300,5.44300,5.35200,5.36200,1197
2005-01-13 00:00:00+00:00,5.36500,5.40200,5.28900,5.40200,1155
2005-01-14 00:00:00+00:00,5.37700,5.37900,5.24600,5.26900,806
2005-01-18 00:00:00+00:00,5.20000,5.20900,5.14400,5.15400,1202
2005-01-19 00:00:00+00:00,5.15700,5.23400,5.15700,5.19700,1029
2005-01-20 00:00:00+00:00,5.19400,5.26100,5.17400,5.25100,1159
2005-01-21 00:00:00+00:00,5.24900,5.26400,5.17300,5.18800,999
2005-01-24 00:00:00+00:00,5.20300,5.26800,5.20300,5.21700,1050
2005-01-25 00:00:00+00:00,5.21200,5.29700,5.17200,5.27700,1174
2005-01-26 00:00:00+00:00,5.27500,5.31200,5.24200,5.24400,929
2005-01-27 00:00:00+00:00,5.23700,5.24200,5.17100,5.17100,793
2005-01-28 00:00:00+00:00,5.16900,5.19100,5.14100,5.15600,716
2005-01-31 00:00:00+00:00,5.11500,5.20000,5.10500,5.16000,1051
2005-02-01 00:00:00+00:00,5.16700,5.19700,5.07400,5.07900,1033
2005-02-02 00:00:00+00:00,5.08400,5.10400,5.06400,5.06900,771
2005-02-03 00:00:00+00:00,5.06600,5.09300,5.02800,5.03300,866
2005-02-04 00:00:00+00:00,5.03100,5.04600,4.99800,5.00800,713
2005-02-07 00:00:00+00:00,5.00200,5.08500,4.99700,5.02700,839
2005-02-08 00:00:00+00:00,5.02900,5.06900,5.02200,5.05200,677
2005-02-09 00:00:00+00:00,5.04100,5.13100,5.04100,5.11600,955
2005-02-10 00:00:00+00:00,5.11100,5.20600,5.10600,5.17600,1028
2005-02-11 00:00:00+00:00,5.17400,5.29600,5.15400,5.27100,1343
2005-02-14 00:00:00+00:00,5.27500,5.38000,5.27000,5.37000,1407
2005-02-15 00:00:00+00:00,5.36000,5.38700,5.33000,5.34700,1037
2005-02-16 00:00:00+00:00,5.33700,5.35200,5.29200,5.35000,1046
2005-02-17 00:00:00+00:00,5.34500,5.54300,5.33200,5.53200,1385
2005-02-18 00:00:00+00:00,5.53700,5.67300,5.51000,5.55200,1638
2005-02-22 00:00:00+00:00,5.62200,5.88800,5.62000,5.83700,2048
2005-02-23 00:00:00+00:00,5.83200,5.84200,5.74200,5.82700,1509
