instrument,timeframe,horizon_bars,n_signals,fwd_ret_bps,winrate_%,t_stat,uncond_bps
SPX,H1,1,1170,-0.5,53.0,-0.66,0.1
SPX,H1,2,1170,-1.2,53.3,-1.13,0.2
SPX,H1,4,1170,-3.2,51.9,-2.17,0.5
SPX,H1,8,1170,-4.0,50.3,-2.25,1.0
SPX,H1,24,1170,-2.6,51.0,-0.89,2.9
SPX,H4,1,274,0.9,54.4,0.69,0.5
SPX,H4,2,274,3.1,56.6,1.76,0.9
SPX,H4,4,274,4.5,58.0,1.74,1.8
SPX,H4,8,274,10.1,60.9,1.84,3.7
SPX,H4,24,273,16.0,61.9,1.62,11.0
SPX,D1,1,270,3.5,55.6,0.58,2.4
SPX,D1,2,270,10.9,58.1,1.33,4.7
SPX,D1,4,270,26.3,63.3,2.23,9.4
SPX,D1,8,270,73.4,67.0,5.42,18.7
SPX,D1,24,270,66.7,66.7,2.16,55.9
NQ,H1,1,1123,-0.1,54.0,-0.07,0.2
NQ,H1,2,1123,1.7,55.3,1.34,0.4
NQ,H1,4,1123,-0.0,53.3,-0.01,0.9
NQ,H1,8,1123,-2.6,52.0,-1.29,1.8
NQ,H1,24,1123,-2.5,54.8,-0.7,5.3
NQ,H4,1,275,1.6,57.8,0.98,0.8
NQ,H4,2,275,1.5,56.7,0.67,1.7
NQ,H4,4,275,0.9,54.5,0.3,3.4
NQ,H4,8,275,3.1,57.1,0.48,6.7
NQ,H4,24,274,15.6,56.6,1.26,20.1
NQ,D1,1,306,10.6,56.5,1.63,4.4
NQ,D1,2,306,21.3,56.2,2.36,8.6
NQ,D1,4,306,41.6,64.1,3.34,17.2
NQ,D1,8,306,89.3,64.7,5.92,34.4
NQ,D1,24,305,110.2,66.2,3.58,102.9
