instr,killzone,mode,trades,gross_E_R,gross_PF,net_E_R,net_PF,net_win_%
SPX,London,breakout,10021,-0.0467,0.909,-0.7141,0.282,24.8
SPX,London,reversion,4807,0.045,1.081,-1.0497,0.206,22.0
SPX,NY_AM,breakout,12206,0.0141,1.027,-0.4418,0.466,31.6
SPX,NY_AM,reversion,8242,-0.0021,0.997,-0.8674,0.287,23.7
SPX,NY_PM,breakout,7614,-0.0059,0.987,-0.2921,0.542,34.4
SPX,NY_PM,reversion,4958,0.0027,1.005,-0.5898,0.375,27.6
SPX,LDN_close,breakout,5424,0.0231,1.065,-0.1605,0.659,37.2
SPX,LDN_close,reversion,3476,0.028,1.067,-0.3443,0.473,34.4
NQ,London,breakout,10679,-0.0558,0.894,-1.9636,0.062,11.4
NQ,London,reversion,5615,-0.0137,0.976,-2.3586,0.044,9.3
NQ,NY_AM,breakout,13189,0.0147,1.028,-1.1907,0.178,21.8
NQ,NY_AM,reversion,10159,-0.0145,0.977,-1.8526,0.092,13.9
NQ,NY_PM,breakout,7598,0.0069,1.015,-0.5442,0.343,28.3
NQ,NY_PM,reversion,5446,0.0162,1.03,-1.251,0.145,18.2
NQ,LDN_close,breakout,5320,0.0278,1.08,-0.2992,0.473,34.3
NQ,LDN_close,reversion,3690,-0.0136,0.969,-0.6838,0.244,24.7
